,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13
_2000_Shaquille O'Neal,5.778897638263701,2.768011631377714,-0.4877624281203472,0.8982245971295602,1.3686379088469418,-0.20139871512488755,0.15997575284340818,0.44060981860940907,-0.5379926824330338,-0.4090421891475374,0.47600659699551795,0.03181457597176483,0.28115361556322926
_2000_Chris Gatling,3.1513996507737403,1.1716623808024427,-0.22503494793880857,0.1415196786159431,0.6181138520652333,-0.7238933939911729,0.5965615606991852,-0.015785139058597616,-0.916682853256144,-0.29838150114745643,0.8734372138825736,1.1068054057295038,-0.5841587660646701
_2000_Allen Iverson,4.868322825257817,-0.408653648047192,0.08834631965269892,0.36496577064066016,1.0166164089580483,-0.7505168276997073,0.26306890336726535,-0.03963248271762035,-0.01813007394459788,0.10461980346821845,0.6631122518577489,0.7963847002210561,-0.6941759406500826
_2000_Karl Malone,5.22647009873032,1.606051732197659,-0.10727373886295077,0.8336469100413659,1.2345505848120724,-0.6296047701130769,-0.10919802266577791,0.6230531035294287,-0.8648576401755926,-0.3275261003846368,0.7788603341810878,0.7041099497102268,-0.23185299208623683
_2000_Grant Hill,4.819029979759642,0.5097150156823674,0.08273459077848505,0.6889625985898844,0.9776722036544475,-0.8245432074260799,0.5184215414261178,0.41791025448667146,-0.6390906544919197,-0.029213194294447808,0.5677966130229768,0.8340371465510057,-0.26925230010430234
_2000_Vince Carter,4.9134026543525575,0.2492623723285963,-0.4736928512881189,0.22900688770650185,0.8177076971774364,-0.7416407395229555,0.3585980577893559,0.3255907972538369,-0.3687368756938701,-0.16173259433591394,0.6821067694084616,0.8127450414871055,-0.42547311475308
_2000_A.C. Green,2.1112527388038913,1.0359520086374756,-1.4188976503618145,0.9544134270170358,0.31705865908154157,-0.38062090179558017,-0.04053378448168988,0.6036328034826756,-0.6481389040677922,-0.3631532565650804,0.303264743415018,0.7485342263999669,-0.3915202968523037
_2000_Chris Webber,5.078741418836587,1.3167799393468196,-0.10875886919068281,0.5984115264531199,0.5579474608024546,0.09328480955251733,0.826047641151706,0.3482591530031379,-1.0961622649455083,-0.30655227572073607,0.2613243220824149,0.6084306773508321,-0.11694303972907907
_2000_Gary Payton,5.430197340573353,-0.5327703452749979,-0.508240671442141,0.7342609219094556,0.4551119036495025,0.08719317926398464,0.9089197094478452,0.41215357453931345,-0.28316858602839695,-1.098313271195689,0.4865559950066848,0.5526531138216857,-0.5985122915673435
_2000_Aaron McKie,2.606047079010114,-0.1417128021352719,-0.6950116145652334,0.8799395175440685,0.13083566912243036,-0.5449401735930758,0.4011580945172265,0.37779563895640705,-0.7053079028343073,-0.3002024267011181,0.6112358024668205,1.1622241354708016,-0.5542740500404292
